dice_coef,loss,val_dice_coef,val_loss,learning_rate
0.23826725780963898,0.8522345423698425,0.4635193645954132,0.5979964733123779,0.0005000000237487257
0.49403175711631775,0.5700366497039795,0.5091413855552673,0.5512393116950989,0.0005000000237487257
0.5202846527099609,0.5403926968574524,0.5423762202262878,0.5109451413154602,0.0005000000237487257
0.528163492679596,0.5308330059051514,0.545265793800354,0.5159829258918762,0.0005000000237487257
0.5384323596954346,0.5194947719573975,0.5401696562767029,0.5119704008102417,0.0005000000237487257
0.555484414100647,0.4977582097053528,0.555832028388977,0.4987427592277527,0.0002500000118743628
0.5652310848236084,0.48803046345710754,0.5645323991775513,0.49083295464515686,0.0002500000118743628
0.5651471614837646,0.4870336949825287,0.5733503699302673,0.4757847189903259,0.0002500000118743628
0.5767646431922913,0.4760430157184601,0.6142237186431885,0.43729907274246216,0.0002500000118743628
0.6112698316574097,0.43853649497032166,0.6310485005378723,0.42036014795303345,0.0002500000118743628
0.6356309056282043,0.4116085469722748,0.6438921689987183,0.4037265181541443,0.0002500000118743628
0.6384242177009583,0.40851691365242004,0.650214433670044,0.39489611983299255,0.0002500000118743628
0.6465221643447876,0.3995576798915863,0.6540229320526123,0.3931913375854492,0.0002500000118743628
0.6572445631027222,0.3877570331096649,0.6456984877586365,0.40710100531578064,0.0002500000118743628
0.662720799446106,0.38137194514274597,0.6219449639320374,0.42155295610427856,0.0002500000118743628
0.6837860941886902,0.35715678334236145,0.6546909809112549,0.3916057348251343,0.0001250000059371814
0.6909834742546082,0.34899958968162537,0.6640190482139587,0.383999764919281,0.0001250000059371814
0.6975178122520447,0.3418532907962799,0.6479490995407104,0.40002524852752686,0.0001250000059371814
0.7013131976127625,0.3378255367279053,0.670603334903717,0.37219223380088806,0.0001250000059371814
0.7031744718551636,0.3354417085647583,0.6702103018760681,0.37499451637268066,0.0001250000059371814
0.7115441560745239,0.3265252411365509,0.6734020709991455,0.3701878786087036,0.0001250000059371814
0.7140743732452393,0.3238488435745239,0.6748852729797363,0.3702099025249481,0.0001250000059371814
0.7224782705307007,0.314437597990036,0.6688570380210876,0.37251773476600647,0.0001250000059371814
0.7311921715736389,0.30407968163490295,0.6760656833648682,0.36866796016693115,6.25000029685907e-05
0.7378706932067871,0.29718074202537537,0.6759660840034485,0.36787131428718567,6.25000029685907e-05
0.7407790422439575,0.2938084006309509,0.6723209023475647,0.3723253011703491,6.25000029685907e-05
0.745459794998169,0.28879618644714355,0.6735254526138306,0.37149304151535034,6.25000029685907e-05
0.7511335015296936,0.28212088346481323,0.6759414076805115,0.3695395290851593,3.125000148429535e-05
